"threshold","percentile_sum","cumulative_sum"
0.0745,56199,681981220
0.0746,55657,681925021
0.0747,56460,681869364
0.0748,56479,681812904
0.0749,56894,681756425
0.075,57516,681699531
0.0751,57196,681642015
0.0752,57050,681584819
0.0753,57973,681527769
0.0754,58584,681469796
0.0755,58591,681411212
0.0756,59169,681352621
0.0757,58083,681293452
0.0758,58613,681235369
0.0759,58403,681176756
0.076,59337,681118353
0.0761,59814,681059016
0.0762,59659,680999202
0.0763,59867,680939543
0.0764,59690,680879676
0.0765,60074,680819986
0.0766,60548,680759912
0.0767,59586,680699364
0.0768,61067,680639778
0.0769,60684,680578711
0.077,61437,680518027
0.0771,61150,680456590
0.0772,61259,680395440
0.0773,61538,680334181
0.0774,62251,680272643
0.0775,62396,680210392
0.0776,63026,680147996
0.0777,62564,680084970
0.0778,62648,680022406
0.0779,63418,679959758
0.078,63332,679896340
0.0781,63507,679833008
0.0782,63045,679769501
0.0783,63995,679706456
0.0784,64164,679642461
0.0785,64469,679578297
0.0786,65222,679513828
0.0787,64999,679448606
0.0788,64832,679383607
0.0789,65305,679318775
0.079,65974,679253470
0.0791,65715,679187496
0.0792,65463,679121781
0.0793,66262,679056318
0.0794,66171,678990056
0.0795,66619,678923885
0.0796,66677,678857266
0.0797,67020,678790589
0.0798,67345,678723569
0.0799,67335,678656224
0.08,68131,678588889
0.0801,67870,678520758
0.0802,68019,678452888
0.0803,68345,678384869
0.0804,68834,678316524
0.0805,68415,678247690
0.0806,68678,678179275
0.0807,69339,678110597
0.0808,69070,678041258
0.0809,68995,677972188
0.081,69746,677903193
0.0811,70308,677833447
0.0812,69729,677763139
0.0813,70240,677693410
0.0814,69968,677623170
0.0815,70432,677553202
0.0816,70670,677482770
0.0817,71108,677412100
0.0818,71281,677340992
0.0819,71667,677269711
0.082,71554,677198044
0.0821,72289,677126490
0.0822,71408,677054201
0.0823,72746,676982793
0.0824,71969,676910047
0.0825,73119,676838078
0.0826,72977,676764959
0.0827,73050,676691982
0.0828,72834,676618932
0.0829,73686,676546098
0.083,74450,676472412
0.0831,73477,676397962
0.0832,73982,676324485
0.0833,73292,676250503
0.0834,74306,676177211
0.0835,74954,676102905
0.0836,74918,676027951
0.0837,75177,675953033
0.0838,75115,675877856
0.0839,75971,675802741
0.084,75856,675726770
0.0841,75725,675650914
0.0842,76691,675575189
0.0843,75571,675498498
0.0844,76883,675422927
0.0845,76569,675346044
0.0846,77047,675269475
0.0847,77384,675192428
0.0848,77986,675115044
0.0849,77388,675037058
0.085,77596,674959670
0.0851,78412,674882074
0.0852,78040,674803662
0.0853,78447,674725622
0.0854,77903,674647175
0.0855,78828,674569272
0.0856,79414,674490444
0.0857,80027,674411030
0.0858,79112,674331003
0.0859,80078,674251891
0.086,80406,674171813
0.0861,79916,674091407
0.0862,80638,674011491
0.0863,80256,673930853
0.0864,80755,673850597
0.0865,80943,673769842
0.0866,81627,673688899
0.0867,81760,673607272
0.0868,81907,673525512
0.0869,80955,673443605
0.087,82078,673362650
0.0871,82531,673280572
0.0872,82627,673198041
0.0873,82786,673115414
0.0874,81529,673032628
0.0875,82989,672951099
0.0876,83297,672868110
0.0877,83816,672784813
0.0878,83555,672700997
0.0879,83480,672617442
0.088,83401,672533962
0.0881,84240,672450561
0.0882,85046,672366321
0.0883,83869,672281275
0.0884,85310,672197406
0.0885,84858,672112096
0.0886,85181,672027238
0.0887,86277,671942057
0.0888,85508,671855780
0.0889,86494,671770272
0.089,85864,671683778
0.0891,85271,671597914
0.0892,86621,671512643
0.0893,86116,671426022
0.0894,86424,671339906
0.0895,86651,671253482
0.0896,87711,671166831
0.0897,87752,671079120
0.0898,87280,670991368
0.0899,87904,670904088
0.09,88648,670816184
0.0901,88453,670727536
0.0902,88664,670639083
0.0903,89236,670550419
0.0904,89443,670461183
0.0905,88910,670371740
0.0906,88813,670282830
0.0907,90155,670194017
0.0908,89552,670103862
0.0909,91373,670014310
0.091,90014,669922937
0.0911,90824,669832923
0.0912,91230,669742099
0.0913,89829,669650869
0.0914,91979,669561040
0.0915,91512,669469061
0.0916,91607,669377549
0.0917,91558,669285942
0.0918,91779,669194384
0.0919,92082,669102605
0.092,92240,669010523
0.0921,91859,668918283
0.0922,92875,668826424
0.0923,93475,668733549
0.0924,93150,668640074
0.0925,93252,668546924
0.0926,93083,668453672
0.0927,94154,668360589
0.0928,94027,668266435
0.0929,93878,668172408
0.093,94551,668078530
0.0931,94824,667983979
0.0932,94945,667889155
0.0933,95269,667794210
0.0934,95481,667698941
0.0935,95350,667603460
0.0936,95463,667508110
0.0937,97106,667412647
0.0938,96043,667315541
0.0939,97110,667219498
0.094,96711,667122388
0.0941,97366,667025677
0.0942,96798,666928311
0.0943,96804,666831513
0.0944,97400,666734709
0.0945,97548,666637309
0.0946,97120,666539761
0.0947,98192,666442641
0.0948,97054,666344449
0.0949,98889,666247395
0.095,98186,666148506
0.0951,97931,666050320
0.0952,98443,665952389
0.0953,99338,665853946
0.0954,99559,665754608
0.0955,99612,665655049
0.0956,100899,665555437
0.0957,99267,665454538
0.0958,99751,665355271
0.0959,100362,665255520
0.096,100507,665155158
0.0961,100340,665054651
0.0962,100956,664954311
0.0963,100191,664853355
0.0964,101399,664753164
0.0965,100683,664651765
0.0966,101050,664551082
0.0967,102692,664450032
0.0968,102371,664347340
0.0969,101771,664244969
0.097,102963,664143198
0.0971,102610,664040235
0.0972,103105,663937625
0.0973,102570,663834520
0.0974,102883,663731950
0.0975,102581,663629067
0.0976,102186,663526486
0.0977,103390,663424300
0.0978,103740,663320910
0.0979,103953,663217170
0.098,104181,663113217
0.0981,104690,663009036
0.0982,104005,662904346
0.0983,104248,662800341
0.0984,104779,662696093
0.0985,105122,662591314
0.0986,103987,662486192
0.0987,105705,662382205
0.0988,105471,662276500
0.0989,105117,662171029
0.099,105500,662065912
0.0991,106140,661960412
0.0992,106934,661854272
