"threshold","percentile_sum","cumulative_sum"
0.0636,8628,1659132
0.0637,8616,1650504
0.0638,8442,1641888
0.0639,8209,1633446
0.064,8258,1625237
0.0641,8466,1616979
0.0642,8238,1608513
0.0643,8215,1600275
0.0644,7842,1592060
0.0645,7787,1584218
0.0646,8071,1576431
0.0647,7896,1568360
0.0648,7928,1560464
0.0649,7706,1552536
0.065,7631,1544830
0.0651,8033,1537199
0.0652,7486,1529166
0.0653,7510,1521680
0.0654,7415,1514170
0.0655,7502,1506755
0.0656,7618,1499253
0.0657,7537,1491635
0.0658,7319,1484098
0.0659,7662,1476779
0.066,7230,1469117
0.0661,7215,1461887
0.0662,7133,1454672
0.0663,7166,1447539
0.0664,6857,1440373
0.0665,6783,1433516
0.0666,7151,1426733
0.0667,6894,1419582
0.0668,6868,1412688
0.0669,6838,1405820
0.067,6669,1398982
0.0671,6552,1392313
0.0672,6718,1385761
0.0673,6487,1379043
0.0674,6659,1372556
0.0675,6311,1365897
0.0676,6565,1359586
0.0677,6591,1353021
0.0678,6474,1346430
0.0679,6511,1339956
0.068,6474,1333445
0.0681,6323,1326971
0.0682,6356,1320648
0.0683,6203,1314292
0.0684,6034,1308089
0.0685,5957,1302055
0.0686,6248,1296098
0.0687,6013,1289850
0.0688,5773,1283837
0.0689,6117,1278064
0.069,5811,1271947
0.0691,5941,1266136
0.0692,5685,1260195
0.0693,6049,1254510
0.0694,5705,1248461
0.0695,5740,1242756
0.0696,5681,1237016
0.0697,5674,1231335
0.0698,5538,1225661
0.0699,5757,1220123
0.07,5455,1214366
0.0701,5591,1208911
0.0702,5462,1203320
0.0703,5313,1197858
0.0704,5566,1192545
0.0705,5242,1186979
0.0706,5264,1181737
0.0707,5355,1176473
0.0708,5109,1171118
0.0709,5224,1166009
0.071,5269,1160785
0.0711,5297,1155516
0.0712,5051,1150219
0.0713,5143,1145168
0.0714,5187,1140025
0.0715,5325,1134838
0.0716,4995,1129513
0.0717,5076,1124518
0.0718,5023,1119442
0.0719,4849,1114419
0.072,4950,1109570
0.0721,4878,1104620
0.0722,4825,1099742
0.0723,4980,1094917
0.0724,4754,1089937
0.0725,4675,1085183
0.0726,4676,1080508
0.0727,4727,1075832
0.0728,4647,1071105
0.0729,4663,1066458
0.073,4544,1061795
0.0731,4565,1057251
0.0732,4680,1052686
0.0733,4461,1048006
0.0734,4573,1043545
0.0735,4325,1038972
0.0736,4184,1034647
0.0737,4342,1030463
0.0738,4242,1026121
0.0739,4384,1021879
0.074,4252,1017495
0.0741,4332,1013243
0.0742,4189,1008911
0.0743,4280,1004722
0.0744,4085,1000442
0.0745,4206,996357
0.0746,4223,992151
0.0747,4153,987928
0.0748,4059,983775
0.0749,4097,979716
0.075,4000,975619
0.0751,4127,971619
0.0752,3906,967492
0.0753,4063,963586
0.0754,3911,959523
0.0755,3869,955612
0.0756,3926,951743
0.0757,3816,947817
0.0758,3917,944001
0.0759,3632,940084
0.076,3803,936452
0.0761,3946,932649
0.0762,3801,928703
0.0763,3771,924902
0.0764,3697,921131
0.0765,3786,917434
0.0766,3725,913648
0.0767,3452,909923
0.0768,3750,906471
0.0769,3574,902721
0.077,3771,899147
0.0771,3476,895376
0.0772,3466,891900
0.0773,3407,888434
0.0774,3547,885027
0.0775,3481,881480
0.0776,3250,877999
0.0777,3354,874749
0.0778,3428,871395
0.0779,3386,867967
0.078,3403,864581
0.0781,3325,861178
0.0782,3319,857853
0.0783,3491,854534
0.0784,3256,851043
0.0785,3231,847787
0.0786,3128,844556
0.0787,3211,841428
0.0788,3169,838217
0.0789,3050,835048
0.079,3250,831998
0.0791,3298,828748
0.0792,3218,825450
0.0793,3033,822232
0.0794,3130,819199
0.0795,3149,816069
0.0796,3007,812920
0.0797,2931,809913
0.0798,2985,806982
0.0799,3123,803997
0.08,2982,800874
0.0801,2911,797892
0.0802,3123,794981
0.0803,2946,791858
0.0804,2930,788912
0.0805,2921,785982
0.0806,2902,783061
0.0807,2828,780159
0.0808,2879,777331
0.0809,2867,774452
0.081,2691,771585
0.0811,2816,768894
0.0812,2653,766078
0.0813,2725,763425
0.0814,2761,760700
0.0815,2744,757939
0.0816,2764,755195
0.0817,2601,752431
0.0818,2556,749830
0.0819,2585,747274
0.082,2772,744689
0.0821,2619,741917
0.0822,2640,739298
0.0823,2780,736658
0.0824,2601,733878
0.0825,2565,731277
0.0826,728712,728712
