"threshold","percentile_sum","cumulative_sum"
0.6512,42769,46809373
0.6511,43049,46852422
0.651,43102,46895524
0.6509,42839,46938363
0.6508,42630,46980993
0.6507,43535,47024528
0.6506,42904,47067432
0.6505,43478,47110910
0.6504,41864,47152774
0.6503,43016,47195790
0.6502,42339,47238129
0.6501,42442,47280571
0.65,43011,47323582
0.6499,42928,47366510
0.6498,42709,47409219
0.6497,42718,47451937
0.6496,42698,47494635
0.6495,42627,47537262
0.6494,42518,47579780
0.6493,43334,47623114
0.6492,43754,47666868
0.6491,43297,47710165
0.649,43510,47753675
0.6489,42529,47796204
0.6488,43282,47839486
0.6487,42706,47882192
0.6486,43628,47925820
0.6485,43330,47969150
0.6484,43776,48012926
0.6483,43674,48056600
0.6482,43424,48100024
0.6481,42813,48142837
0.648,42670,48185507
0.6479,42849,48228356
0.6478,43153,48271509
0.6477,42840,48314349
0.6476,43392,48357741
0.6475,42930,48400671
0.6474,43188,48443859
0.6473,43340,48487199
0.6472,43259,48530458
0.6471,43525,48573983
0.647,43596,48617579
0.6469,43354,48660933
0.6468,44092,48705025
0.6467,42850,48747875
0.6466,43733,48791608
0.6465,43351,48834959
0.6464,43454,48878413
0.6463,43121,48921534
0.6462,43427,48964961
0.6461,43409,49008370
0.646,44287,49052657
0.6459,43355,49096012
0.6458,43456,49139468
0.6457,43473,49182941
0.6456,43316,49226257
0.6455,43324,49269581
0.6454,43872,49313453
0.6453,44024,49357477
0.6452,43448,49400925
0.6451,43455,49444380
0.645,43324,49487704
0.6449,43764,49531468
0.6448,43808,49575276
0.6447,43377,49618653
0.6446,43549,49662202
0.6445,43062,49705264
0.6444,43667,49748931
0.6443,43728,49792659
0.6442,44195,49836854
0.6441,43199,49880053
0.644,43741,49923794
0.6439,43575,49967369
0.6438,43593,50010962
0.6437,43682,50054644
0.6436,43506,50098150
0.6435,43859,50142009
0.6434,44375,50186384
0.6433,43601,50229985
0.6432,44225,50274210
0.6431,43516,50317726
0.643,43023,50360749
0.6429,43178,50403927
0.6428,43635,50447562
0.6427,43420,50490982
0.6426,43246,50534228
0.6425,43669,50577897
0.6424,44617,50622514
0.6423,43936,50666450
0.6422,43500,50709950
0.6421,43935,50753885
0.642,43338,50797223
0.6419,46331,50843554
0.6418,44324,50887878
0.6417,43559,50931437
0.6416,43694,50975131
0.6415,44435,51019566
0.6414,44022,51063588
0.6413,44174,51107762
0.6412,44412,51152174
0.6411,43666,51195840
0.641,43849,51239689
0.6409,43810,51283499
0.6408,43567,51327066
0.6407,43912,51370978
0.6406,44345,51415323
0.6405,44007,51459330
0.6404,43965,51503295
0.6403,43897,51547192
0.6402,44074,51591266
0.6401,43695,51634961
0.64,43907,51678868
0.6399,43962,51722830
0.6398,44272,51767102
0.6397,44420,51811522
0.6396,43634,51855156
0.6395,43442,51898598
0.6394,43822,51942420
0.6393,43833,51986253
0.6392,44679,52030932
0.6391,44491,52075423
0.639,44229,52119652
0.6389,43696,52163348
0.6388,44215,52207563
0.6387,44577,52252140
0.6386,44108,52296248
0.6385,44208,52340456
0.6384,43929,52384385
0.6383,44030,52428415
0.6382,44225,52472640
0.6381,44272,52516912
0.638,44308,52561220
0.6379,44999,52606219
0.6378,44426,52650645
0.6377,44051,52694696
0.6376,43937,52738633
0.6375,44641,52783274
0.6374,43783,52827057
0.6373,43970,52871027
0.6372,44362,52915389
0.6371,44814,52960203
0.637,44400,53004603
0.6369,44355,53048958
0.6368,43995,53092953
0.6367,44553,53137506
0.6366,44041,53181547
0.6365,44300,53225847
0.6364,43869,53269716
0.6363,44638,53314354
0.6362,44665,53359019
0.6361,44422,53403441
0.636,44871,53448312
0.6359,44547,53492859
0.6358,44433,53537292
0.6357,44172,53581464
0.6356,44733,53626197
0.6355,44584,53670781
0.6354,44140,53714921
0.6353,44386,53759307
0.6352,44326,53803633
0.6351,45182,53848815
0.635,43880,53892695
0.6349,44355,53937050
0.6348,44214,53981264
0.6347,43957,54025221
0.6346,44322,54069543
0.6345,44013,54113556
0.6344,45325,54158881
0.6343,44707,54203588
0.6342,44625,54248213
0.6341,44977,54293190
0.634,44987,54338177
0.6339,45465,54383642
0.6338,44600,54428242
0.6337,44836,54473078
0.6336,45225,54518303
0.6335,44738,54563041
0.6334,44655,54607696
0.6333,44384,54652080
0.6332,44646,54696726
0.6331,45092,54741818
0.633,44880,54786698
0.6329,44639,54831337
0.6328,44500,54875837
0.6327,44843,54920680
0.6326,45024,54965704
0.6325,44512,55010216
0.6324,44551,55054767
0.6323,45129,55099896
0.6322,44911,55144807
0.6321,44889,55189696
0.632,44879,55234575
0.6319,44728,55279303
0.6318,44746,55324049
0.6317,44030,55368079
0.6316,44489,55412568
0.6315,44628,55457196
0.6314,45090,55502286
0.6313,44758,55547044
0.6312,44672,55591716
0.6311,45157,55636873
0.631,45034,55681907
0.6309,45108,55727015
0.6308,44857,55771872
0.6307,45455,55817327
0.6306,45101,55862428
0.6305,45154,55907582
0.6304,44621,55952203
0.6303,44354,55996557
0.6302,45006,56041563
0.6301,44610,56086173
0.63,45612,56131785
0.6299,43972,56175757
0.6298,44346,56220103
0.6297,44798,56264901
0.6296,44762,56309663
0.6295,44789,56354452
0.6294,45227,56399679
0.6293,45281,56444960
0.6292,44976,56489936
0.6291,44815,56534751
0.629,45520,56580271
0.6289,45215,56625486
0.6288,44990,56670476
0.6287,44874,56715350
0.6286,45344,56760694
0.6285,44756,56805450
0.6284,44662,56850112
0.6283,44940,56895052
0.6282,44929,56939981
0.6281,45670,56985651
0.628,45065,57030716
0.6279,45570,57076286
