"threshold","percentile_sum","cumulative_sum"
0.4619,140612,96441614
0.4618,140892,96582506
0.4617,141887,96724393
0.4616,141880,96866273
0.4615,142225,97008498
0.4614,143051,97151549
0.4613,141633,97293182
0.4612,142574,97435756
0.4611,142224,97577980
0.461,141646,97719626
0.4609,144225,97863851
0.4608,143115,98006966
0.4607,142146,98149112
0.4606,142614,98291726
0.4605,143458,98435184
0.4604,143167,98578351
0.4603,144761,98723112
0.4602,143880,98866992
0.4601,143374,99010366
0.46,144663,99155029
0.4599,144534,99299563
0.4598,144085,99443648
0.4597,144067,99587715
0.4596,145599,99733314
0.4595,144938,99878252
0.4594,145768,100024020
0.4593,145425,100169445
0.4592,144482,100313927
0.4591,144913,100458840
0.459,146167,100605007
0.4589,145164,100750171
0.4588,146141,100896312
0.4587,147459,101043771
0.4586,144963,101188734
0.4585,146542,101335276
0.4584,146069,101481345
0.4583,146521,101627866
0.4582,146895,101774761
0.4581,146865,101921626
0.458,148080,102069706
0.4579,147354,102217060
0.4578,147250,102364310
0.4577,147025,102511335
0.4576,148227,102659562
0.4575,146652,102806214
0.4574,148615,102954829
0.4573,148675,103103504
0.4572,149251,103252755
0.4571,149462,103402217
0.457,148832,103551049
0.4569,149151,103700200
0.4568,149170,103849370
0.4567,149080,103998450
0.4566,149498,104147948
